2024-12-25 12:34:16,981 - ERROR - Starting the PLC data reader script.
2024-12-25 12:34:22,498 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,508 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,513 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,516 - ERROR - Generic message '_read_template(instance_id=1849, object_definition_size=178)' failed: Insufficient Packet Space
2024-12-25 12:34:22,520 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,532 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:22,534 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,545 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,546 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,547 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,554 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,555 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,556 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,558 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,562 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:22,565 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,569 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:22,572 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,576 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,581 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,581 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,586 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,589 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,590 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,592 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:22,597 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,599 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
2024-12-25 12:34:22,603 - ERROR - Generic message '_read_template(instance_id=438, object_definition_size=497)' failed: Insufficient Packet Space
2024-12-25 12:34:22,604 - ERROR - Generic message '_read_template(instance_id=666, object_definition_size=629)' failed: Insufficient Packet Space
2024-12-25 12:34:22,608 - ERROR - Generic message '_read_template(instance_id=3602, object_definition_size=878)' failed: Insufficient Packet Space
2024-12-25 12:34:22,609 - ERROR - Generic message '_read_template(instance_id=666, object_definition_size=629)' failed: Insufficient Packet Space
2024-12-25 12:34:22,617 - ERROR - Generic message '_read_template(instance_id=2701, object_definition_size=314)' failed: Insufficient Packet Space
